FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
220530;1000;8;;
220530;1100;;;
220530;1200;41;;
220530;1300;47;;
220530;1400;40;;
220530;1500;36;;
220530;1600;44;;
220530;1700;32;;
220530;1800;40;;
220530;1900;43;;
220530;2000;46;;
220530;2100;45;;
220530;2200;40;;
220530;2300;40;;
220531;0000;31;;
220531;0100;31;;
220531;0200;30;;
220531;0300;28;;
220531;0400;22;;
220531;0500;22;;
220531;0600;16;;
220531;0700;26;;
220531;0800;34;;
220531;0900;34;;
220531;1000;35;;
220531;1100;39;;
220531;1200;48;;
220531;1300;52;;
220531;1400;53;;
220531;1500;50;;
220531;1600;42;;
220531;1700;28;;
220531;1800;35;;
220531;1900;40;;
220531;2000;36;;
220531;2100;41;;
220531;2200;42;;
220531;2300;43;;
220601;0000;41;;
220601;0100;37;;
220601;0200;31;;
220601;0300;33;;
220601;0400;27;;
220601;0500;22;;
220601;0600;18;;
220601;0700;24;;
220601;0800;23;;
220601;0900;44;;
220601;1000;45;;
220601;1100;47;;
220601;1200;46;;
220601;1300;51;;
220601;1400;45;;
220601;1500;43;;
220601;1600;32;;
220601;1700;23;;
220601;1800;23;;
220601;1900;21;;
220601;2000;25;;
220601;2100;22;;
220601;2200;26;;
220601;2300;19;;
220602;0000;20;;
220602;0100;20;;
220602;0200;20;;
220602;0300;24;;
220602;0400;26;;
220602;0500;25;;
220602;0600;15;;
220602;0700;17;;
220602;0800;18;;
220602;0900;24;;
220602;1000;28;;
220602;1100;34;;
220602;1200;26;;
220602;1300;26;;
220602;1400;37;;
220602;1500;39;;
220602;1600;34;;
220602;1700;45;;
220602;1800;37;;
220602;1900;41;;
220602;2000;43;;
220602;2100;33;;
220602;2200;33;;
220602;2300;13;;
220603;0000;12;;
220603;0100;8;;
220603;0200;8;;
220603;0300;8;;
220603;0400;11;;
220603;0500;10;;
220603;0600;7;;
220603;0700;9;;
220603;0800;7;;
220603;0900;11;;
220603;1000;14;;
220603;1100;10;;
220603;1200;8;;
220603;1300;9;;
220603;1400;14;;
220603;1500;10;;
220603;1600;7;;
220603;1700;7;;
220603;1800;8;;
220603;1900;5;;
220603;2000;4;;
220603;2100;5;;
220603;2200;3;;
220603;2300;3;;
220604;0000;1;;
220604;0100;1;;
220604;0200;1;;
220604;0300;5;;
220604;0400;6;;
220604;0500;3;;
220604;0600;2;;
220604;0700;2;;
220604;0800;2;;
220604;0900;4;;
220604;1000;5;;
220604;1100;9;;
220604;1200;10;;
220604;1300;11;;
220604;1400;7;;
220604;1500;8;;
220604;1600;22;;
220604;1700;19;;
220604;1800;1;;
220604;1900;1;;
220604;2000;1;;
220604;2100;1;;
220604;2200;15;;
220604;2300;20;;
220605;0000;12;;
220605;0100;10;;
220605;0200;9;;
220605;0300;8;;
220605;0400;7;;
220605;0500;4;;
220605;0600;1;;
220605;0700;1;;
220605;0800;1;;
220605;0900;1;;
220605;1000;5;;
220605;1100;5;;
220605;1200;2;;
220605;1300;1;;
220605;1400;1;;
220605;1500;2;;
220605;1600;4;;
220605;1700;8;;
220605;1800;5;;
220605;1900;10;;
220605;2000;13;;
220605;2100;8;;
220605;2200;9;;
220605;2300;7;;
220606;0000;7;;
220606;0100;6;;
220606;0200;5;;
220606;0300;5;;
220606;0400;3;;
220606;0500;3;;
220606;0600;4;;
220606;0700;5;;
220606;0800;8;;
220606;0900;13;;
220606;1000;8;;
220606;1100;6;;
220606;1200;6;;
220606;1300;4;;
220606;1400;17;;
220606;1500;18;;
220606;1600;32;;
220606;1700;41;;
220606;1800;41;;
220606;1900;32;;
220606;2000;30;;
220606;2100;30;;
220606;2200;23;;
220606;2300;19;;
220607;0000;12;;
220607;0100;7;;
220607;0200;5;;
220607;0300;5;;
220607;0400;4;;
220607;0500;3;;
220607;0600;7;;
220607;0700;13;;
220607;0800;20;;
220607;0900;16;;
220607;1000;24;;
220607;1100;25;;
220607;1200;31;;
220607;1300;40;;
220607;1400;53;;
220607;1500;65;;
220607;1600;66;;
220607;1700;63;;
220607;1800;60;;
220607;1900;64;;
220607;2000;57;;
220607;2100;48;;
220607;2200;42;;
220607;2300;37;;
220608;0000;36;;
220608;0100;33;;
220608;0200;30;;
220608;0300;29;;
220608;0400;19;;
220608;0500;26;;
220608;0600;28;;
220608;0700;27;;
220608;0800;38;;
220608;0900;33;;
220608;1000;31;;
220608;1100;26;;
220608;1200;24;;
220608;1300;44;;
220608;1400;44;;
220608;1500;31;;
220608;1600;29;;
220608;1700;40;;
220608;1800;41;;
220608;1900;46;;
220608;2000;43;;
220608;2100;52;;
220608;2200;48;;
220608;2300;44;;
220609;0000;38;;
220609;0100;40;;
220609;0200;33;;
220609;0300;30;;
220609;0400;33;;
220609;0500;29;;
220609;0600;28;;
220609;0700;38;;
220609;0800;43;;
220609;0900;39;;
220609;1000;51;;
220609;1100;44;;
220609;1200;34;;
220609;1300;47;;
220609;1400;58;;
220609;1500;78;;
220609;1600;91;;
220609;1700;100;;
220609;1800;98;;
220609;1900;95;;
220609;2000;74;;
220609;2100;51;;
220609;2200;31;;
220609;2300;27;;
220610;0000;16;;
220610;0100;10;;
220610;0200;10;;
220610;0300;9;;
220610;0400;4;;
220610;0500;3;;
220610;0600;3;;
220610;0700;3;;
220610;0800;6;;
220610;0900;15;;
220610;1000;13;;
220610;1100;7;;
220610;1200;14;;
220610;1300;10;;
220610;1400;13;;
220610;1500;30;;
220610;1600;37;;
220610;1700;49;;
220610;1800;36;;
220610;1900;27;;
220610;2000;15;;
220610;2100;14;;
220610;2200;9;;
220610;2300;8;;
220611;0000;9;;
220611;0100;6;;
220611;0200;4;;
220611;0300;7;;
220611;0400;3;;
220611;0500;1;;
220611;0600;4;;
220611;0700;4;;
220611;0800;2;;
220611;0900;2;;
220611;1000;8;;
220611;1100;13;;
220611;1200;12;;
220611;1300;18;;
220611;1400;20;;
220611;1500;44;;
220611;1600;55;;
220611;1700;53;;
220611;1800;53;;
220611;1900;32;;
220611;2000;35;;
220611;2100;36;;
220611;2200;37;;
220611;2300;30;;
220612;0000;21;;
220612;0100;17;;
220612;0200;14;;
220612;0300;8;;
220612;0400;4;;
220612;0500;2;;
220612;0600;2;;
220612;0700;16;;
220612;0800;12;;
220612;0900;8;;
220612;1000;10;;
220612;1100;21;;
220612;1200;45;;
220612;1300;58;;
220612;1400;65;;
220612;1500;53;;
220612;1600;62;;
220612;1700;56;;
220612;1800;46;;
220612;1900;20;;
220612;2000;16;;
220612;2100;14;;
220612;2200;18;;
220612;2300;21;;
220613;0000;17;;
220613;0100;18;;
220613;0200;6;;
220613;0300;5;;
220613;0400;3;;
220613;0500;3;;
220613;0600;2;;
220613;0700;7;;
220613;0800;12;;
220613;0900;12;;
220613;1000;18;;
220613;1100;9;;
220613;1200;24;;
220613;1300;18;;
220613;1400;106;;
220613;1500;106;;
220613;1600;62;;
220613;1700;73;;
220613;1800;80;;
220613;1900;72;;
220613;2000;66;;
220613;2100;73;;
220613;2200;68;;
220613;2300;59;;
220614;0000;59;;
220614;0100;55;;
220614;0200;53;;
220614;0300;36;;
220614;0400;44;;
220614;0500;47;;
220614;0600;43;;
220614;0700;53;;
220614;0800;54;;
220614;0900;60;;
220614;1000;59;;
220614;1100;62;;
220614;1200;62;;
220614;1300;65;;
220614;1400;67;;
220614;1500;68;;
220614;1600;71;;
220614;1700;67;;
220614;1800;69;;
220614;1900;58;;
220614;2000;61;;
220614;2100;57;;
220614;2200;37;;
220614;2300;26;;
220615;0000;25;;
220615;0100;20;;
220615;0200;16;;
220615;0300;11;;
220615;0400;10;;
220615;0500;6;;
220615;0600;7;;
220615;0700;15;;
220615;0800;20;;
220615;0900;17;;
220615;1000;21;;
220615;1100;22;;
220615;1200;35;;
220615;1300;40;;
220615;1400;34;;
220615;1500;43;;
220615;1600;34;;
220615;1700;44;;
220615;1800;27;;
220615;1900;36;;
220615;2000;43;;
220615;2100;43;;
220615;2200;41;;
220615;2300;39;;
220616;0000;41;;
220616;0100;41;;
220616;0200;32;;
220616;0300;36;;
220616;0400;33;;
220616;0500;31;;
220616;0600;36;;
220616;0700;41;;
220616;0800;38;;
220616;0900;40;;
220616;1000;31;;
220616;1100;41;;
220616;1200;36;;
220616;1300;31;;
220616;1400;38;;
220616;1500;35;;
220616;1600;36;;
220616;1700;40;;
220616;1800;47;;
220616;1900;31;;
220616;2000;37;;
220616;2100;38;;
220616;2200;35;;
220616;2300;33;;
220617;0000;32;;
220617;0100;29;;
220617;0200;29;;
220617;0300;24;;
220617;0400;26;;
220617;0500;22;;
220617;0600;25;;
220617;0700;27;;
220617;0800;30;;
220617;0900;32;;
220617;1000;29;;
220617;1100;26;;
220617;1200;26;;
220617;1300;28;;
220617;1400;34;;
220617;1500;43;;
220617;1600;48;;
220617;1700;48;;
220617;1800;53;;
220617;1900;46;;
220617;2000;39;;
220617;2100;42;;
220617;2200;51;;
220617;2300;32;;
220618;0000;36;;
220618;0100;30;;
220618;0200;32;;
220618;0300;34;;
220618;0400;26;;
220618;0500;30;;
220618;0600;27;;
220618;0700;27;;
220618;0800;27;;
220618;0900;20;;
220618;1000;24;;
220618;1100;32;;
220618;1200;37;;
220618;1300;41;;
220618;1400;51;;
220618;1500;55;;
220618;1600;64;;
220618;1700;70;;
220618;1800;64;;
220618;1900;72;;
220618;2000;70;;
220618;2100;60;;
220618;2200;61;;
220618;2300;53;;
220619;0000;40;;
220619;0100;28;;
220619;0200;29;;
220619;0300;46;;
220619;0400;36;;
220619;0500;33;;
220619;0600;19;;
220619;0700;17;;
220619;0800;14;;
220619;0900;16;;
220619;1000;19;;
220619;1100;31;;
220619;1200;28;;
220619;1300;38;;
220619;1400;38;;
220619;1500;52;;
220619;1600;62;;
220619;1700;70;;
220619;1800;72;;
220619;1900;76;;
220619;2000;64;;
220619;2100;56;;
220619;2200;49;;
220619;2300;46;;
220620;0000;39;;
220620;0100;32;;
220620;0200;31;;
220620;0300;36;;
220620;0400;27;;
220620;0500;28;;
220620;0600;26;;
220620;0700;33;;
220620;0800;50;;
220620;0900;49;;
220620;1000;56;;
220620;1100;55;;
220620;1200;58;;
220620;1300;80;;
220620;1400;89;;
220620;1500;82;;
220620;1600;73;;
220620;1700;71;;
220620;1800;43;;
220620;1900;37;;
220620;2000;54;;
220620;2100;63;;
220620;2200;68;;
220620;2300;58;;
220621;0000;55;;
220621;0100;57;;
220621;0200;48;;
220621;0300;47;;
220621;0400;46;;
220621;0500;46;;
220621;0600;39;;
220621;0700;43;;
220621;0800;50;;
220621;0900;48;;
220621;1000;41;;
220621;1100;42;;
220621;1200;47;;
220621;1300;49;;
220621;1400;52;;
220621;1500;54;;
220621;1600;56;;
220621;1700;43;;
220621;1800;21;;
220621;1900;26;;
220621;2000;16;;
220621;2100;19;;
220621;2200;15;;
220621;2300;22;;
220622;0000;24;;
220622;0100;30;;
220622;0200;37;;
220622;0300;36;;
220622;0400;41;;
220622;0500;45;;
220622;0600;42;;
220622;0700;45;;
220622;0800;42;;
220622;0900;45;;
220622;1000;39;;
220622;1100;28;;
220622;1200;;;
220622;1300;31;;
220622;1400;33;;
220622;1500;34;;
220622;1600;38;;
220622;1700;48;;
220622;1800;31;;
220622;1900;45;;
220622;2000;44;;
220622;2100;45;;
220622;2200;44;;
220622;2300;36;;
220623;0000;34;;
220623;0100;30;;
220623;0200;31;;
220623;0300;29;;
220623;0400;25;;
220623;0500;22;;
220623;0600;23;;
220623;0700;24;;
220623;0800;13;;
220623;0900;11;;
220623;1000;9;;
220623;1100;6;;
220623;1200;2;;
220623;1300;1;;
220623;1400;3;;
220623;1500;5;;
220623;1600;1;;
220623;1700;1;;
220623;1800;7;;
220623;1900;7;;
220623;2000;9;;
220623;2100;13;;
220623;2200;6;;
220623;2300;2;;
220624;0000;1;;
220624;0100;1;;
220624;0200;1;;
220624;0300;1;;
220624;0400;1;;
220624;0500;1;;
220624;0600;5;;
220624;0700;5;;
220624;0800;5;;
220624;0900;7;;
220624;1000;15;;
220624;1100;6;;
220624;1200;4;;
220624;1300;7;;
220624;1400;20;;
220624;1500;18;;
220624;1600;24;;
220624;1700;27;;
220624;1800;30;;
220624;1900;30;;
220624;2000;27;;
220624;2100;25;;
220624;2200;17;;
220624;2300;14;;
220625;0000;11;;
220625;0100;13;;
220625;0200;11;;
220625;0300;8;;
220625;0400;4;;
220625;0500;5;;
220625;0600;6;;
220625;0700;5;;
220625;0800;3;;
220625;0900;10;;
220625;1000;7;;
220625;1100;3;;
220625;1200;3;;
220625;1300;6;;
220625;1400;10;;
220625;1500;31;;
220625;1600;36;;
220625;1700;39;;
220625;1800;38;;
220625;1900;35;;
220625;2000;34;;
220625;2100;32;;
220625;2200;25;;
220625;2300;21;;
220626;0000;17;;
220626;0100;21;;
220626;0200;15;;
220626;0300;17;;
220626;0400;22;;
220626;0500;20;;
220626;0600;13;;
220626;0700;20;;
220626;0800;21;;
220626;0900;23;;
220626;1000;25;;
220626;1100;32;;
220626;1200;14;;
220626;1300;13;;
220626;1400;53;;
220626;1500;67;;
220626;1600;70;;
220626;1700;73;;
220626;1800;74;;
220626;1900;79;;
220626;2000;71;;
220626;2100;54;;
220626;2200;45;;
220626;2300;36;;
220627;0000;39;;
220627;0100;28;;
220627;0200;25;;
220627;0300;18;;
220627;0400;20;;
220627;0500;9;;
220627;0600;8;;
220627;0700;7;;
220627;0800;7;;
220627;0900;7;;
220627;1000;8;;
220627;1100;7;;
220627;1200;28;;
220627;1300;18;;
220627;1400;13;;
220627;1500;13;;
220627;1600;11;;
220627;1700;12;;
220627;1800;7;;
220627;1900;5;;
220627;2000;7;;
220627;2100;9;;
220627;2200;9;;
220627;2300;4;;
220628;0000;1;;
220628;0100;4;;
220628;0200;1;;
220628;0300;1;;
220628;0400;3;;
220628;0500;1;;
220628;0600;1;;
220628;0700;1;;
220628;0800;5;;
220628;0900;4;;
220628;1000;3;;
220628;1100;7;;
220628;1200;13;;
220628;1300;12;;
220628;1400;8;;
220628;1500;8;;
220628;1600;17;;
220628;1700;23;;
220628;1800;19;;
220628;1900;17;;
220628;2000;18;;
220628;2100;17;;
220628;2200;12;;
220628;2300;9;;
220629;0000;9;;
220629;0100;7;;
220629;0200;7;;
220629;0300;3;;
220629;0400;3;;
220629;0500;3;;
220629;0600;2;;
220629;0700;7;;
220629;0800;10;;
220629;0900;10;;
220629;1000;15;;
220629;1100;19;;
220629;1200;12;;
220629;1300;19;;
220629;1400;28;;
220629;1500;41;;
220629;1600;26;;
220629;1700;15;;
220629;1800;19;;
220629;1900;28;;
220629;2000;27;;
220629;2100;33;;
220629;2200;27;;
220629;2300;30;;
220630;0000;21;;
220630;0100;22;;
220630;0200;15;;
220630;0300;17;;
220630;0400;13;;
220630;0500;13;;
220630;0600;19;;
220630;0700;18;;
220630;0800;14;;
220630;0900;26;;
220630;1000;19;;
220630;1100;29;;
220630;1200;30;;
220630;1300;27;;
220630;1400;22;;
220630;1500;28;;
220630;1600;31;;
220630;1700;28;;
220630;1800;32;;
220630;1900;33;;
220630;2000;35;;
220630;2100;25;;
220630;2200;32;;
220630;2300;31;;
220701;0000;37;;
220701;0100;32;;
220701;0200;21;;
220701;0300;17;;
220701;0400;15;;
220701;0500;4;;
220701;0600;3;;
220701;0700;7;;
220701;0800;7;;
220701;0900;7;;
220701;1000;6;;
220701;1100;3;;
220701;1200;2;;
220701;1300;5;;
220701;1400;3;;
220701;1500;1;;
220701;1600;2;;
220701;1700;2;;
220701;1800;5;;
220701;1900;14;;
220701;2000;11;;
220701;2100;10;;
220701;2200;14;;
220701;2300;11;;
220702;0000;8;;
220702;0100;6;;
220702;0200;4;;
220702;0300;4;;
220702;0400;4;;
220702;0500;2;;
220702;0600;3;;
220702;0700;3;;
220702;0800;3;;
220702;0900;1;;
220702;1000;5;;
220702;1100;7;;
220702;1200;10;;
220702;1300;9;;
220702;1400;18;;
220702;1500;12;;
220702;1600;24;;
220702;1700;25;;
220702;1800;21;;
220702;1900;26;;
220702;2000;31;;
220702;2100;28;;
220702;2200;30;;
220702;2300;22;;
220703;0000;18;;
220703;0100;14;;
220703;0200;18;;
220703;0300;17;;
220703;0400;13;;
220703;0500;15;;
220703;0600;11;;
220703;0700;12;;
220703;0800;11;;
220703;0900;8;;
220703;1000;11;;
220703;1100;9;;
220703;1200;21;;
220703;1300;16;;
220703;1400;21;;
220703;1500;24;;
220703;1600;21;;
220703;1700;30;;
220703;1800;27;;
220703;1900;21;;
220703;2000;14;;
220703;2100;11;;
220703;2200;9;;
220703;2300;8;;
220704;0000;8;;
220704;0100;6;;
220704;0200;8;;
220704;0300;5;;
220704;0400;2;;
220704;0500;3;;
220704;0600;1;;
220704;0700;5;;
220704;0800;5;;
220704;0900;6;;
220704;1000;5;;
220704;1100;24;;
220704;1200;27;;
220704;1300;29;;
220704;1400;22;;
220704;1500;19;;
220704;1600;26;;
220704;1700;27;;
220704;1800;24;;
220704;1900;22;;
220704;2000;27;;
220704;2100;23;;
220704;2200;18;;
220704;2300;24;;
220705;0000;15;;
220705;0100;15;;
220705;0200;13;;
220705;0300;12;;
220705;0400;14;;
220705;0500;14;;
220705;0600;12;;
220705;0700;13;;
220705;0800;16;;
220705;0900;25;;
220705;1000;33;;
220705;1100;18;;
220705;1200;18;;
220705;1300;20;;
220705;1400;22;;
220705;1500;29;;
220705;1600;32;;
220705;1700;33;;
220705;1800;31;;
220705;1900;34;;
220705;2000;40;;
220705;2100;37;;
220705;2200;33;;
220705;2300;26;;
220706;0000;24;;
220706;0100;26;;
220706;0200;22;;
220706;0300;21;;
220706;0400;27;;
220706;0500;26;;
220706;0600;28;;
220706;0700;31;;
220706;0800;31;;
220706;0900;29;;
220706;1000;42;;
220706;1100;41;;
220706;1200;38;;
220706;1300;27;;
220706;1400;21;;
220706;1500;24;;
220706;1600;18;;
220706;1700;9;;
220706;1800;19;;
220706;1900;17;;
220706;2000;23;;
220706;2100;22;;
220706;2200;20;;
220706;2300;10;;
220707;0000;11;;
220707;0100;7;;
220707;0200;9;;
220707;0300;9;;
220707;0400;6;;
220707;0500;7;;
220707;0600;7;;
220707;0700;11;;
220707;0800;13;;
220707;0900;15;;
220707;1000;20;;
220707;1100;18;;
220707;1200;16;;
220707;1300;22;;
220707;1400;23;;
220707;1500;43;;
220707;1600;58;;
220707;1700;65;;
220707;1800;59;;
220707;1900;32;;
220707;2000;19;;
220707;2100;20;;
220707;2200;14;;
220707;2300;11;;
220708;0000;12;;
220708;0100;6;;
220708;0200;5;;
220708;0300;21;;
220708;0400;11;;
220708;0500;30;;
220708;0600;34;;
220708;0700;25;;
220708;0800;9;;
220708;0900;5;;
220708;1000;2;;
220708;1100;9;;
220708;1200;5;;
220708;1300;13;;
220708;1400;25;;
220708;1500;22;;
220708;1600;19;;
220708;1700;16;;
220708;1800;20;;
220708;1900;24;;
220708;2000;20;;
220708;2100;18;;
220708;2200;20;;
220708;2300;21;;
220709;0000;20;;
220709;0100;14;;
220709;0200;16;;
220709;0300;15;;
220709;0400;18;;
220709;0500;12;;
220709;0600;15;;
220709;0700;14;;
220709;0800;13;;
220709;0900;22;;
220709;1000;15;;
220709;1100;12;;
220709;1200;17;;
220709;1300;8;;
220709;1400;3;;
220709;1500;1;;
220709;1600;1;;
220709;1700;2;;
220709;1800;2;;
220709;1900;1;;
220709;2000;2;;
220709;2100;4;;
220709;2200;2;;
220709;2300;1;;
220710;0000;5;;
220710;0100;7;;
220710;0200;4;;
220710;0300;1;;
220710;0400;3;;
220710;0500;2;;
220710;0600;2;;
220710;0700;2;;
220710;0800;1;;
220710;0900;2;;
220710;1000;1;;
220710;1100;7;;
220710;1200;7;;
220710;1300;5;;
220710;1400;7;;
220710;1500;9;;
220710;1600;12;;
220710;1700;8;;
220710;1800;3;;
220710;1900;1;;
220710;2000;1;;
220710;2100;1;;
220710;2200;1;;
220710;2300;3;;
220711;0000;3;;
220711;0100;4;;
220711;0200;4;;
220711;0300;2;;
220711;0400;2;;
220711;0500;3;;
220711;0600;2;;
220711;0700;4;;
220711;0800;8;;
220711;0900;6;;
220711;1000;6;;
220711;1100;3;;
220711;1200;1;;
220711;1300;3;;
220711;1400;1;;
220711;1500;1;;
220711;1600;4;;
220711;1700;3;;
220711;1800;4;;
220711;1900;8;;
220711;2000;5;;
220711;2100;3;;
220711;2200;2;;
220711;2300;4;;
220712;0000;2;;
220712;0100;2;;
220712;0200;1;;
220712;0300;2;;
220712;0400;1;;
220712;0500;1;;
220712;0600;1;;
220712;0700;2;;
220712;0800;5;;
220712;0900;6;;
220712;1000;7;;
220712;1100;5;;
220712;1200;8;;
220712;1300;16;;
220712;1400;14;;
220712;1500;16;;
220712;1600;23;;
220712;1700;33;;
220712;1800;31;;
220712;1900;27;;
220712;2000;26;;
220712;2100;22;;
220712;2200;24;;
220712;2300;15;;
220713;0000;16;;
220713;0100;18;;
220713;0200;7;;
220713;0300;8;;
220713;0400;6;;
220713;0500;7;;
220713;0600;5;;
220713;0700;10;;
220713;0800;9;;
220713;0900;10;;
220713;1000;19;;
220713;1100;26;;
220713;1200;22;;
220713;1300;16;;
220713;1400;20;;
220713;1500;11;;
220713;1600;10;;
220713;1700;9;;
220713;1800;15;;
220713;1900;16;;
220713;2000;16;;
220713;2100;20;;
220713;2200;14;;
220713;2300;13;;
220714;0000;13;;
220714;0100;10;;
220714;0200;7;;
220714;0300;9;;
220714;0400;5;;
220714;0500;1;;
220714;0600;1;;
220714;0700;4;;
220714;0800;7;;
220714;0900;8;;
220714;1000;;;
220714;1100;;;
220714;1200;;;
220714;1300;;;
220714;1400;;;
220714;1500;;;
220714;1600;;;
220714;1700;4;;
220714;1800;3;;
220714;1900;3;;
220714;2000;3;;
220714;2100;10;;
220714;2200;9;;
220714;2300;9;;
220715;0000;8;;
220715;0100;10;;
220715;0200;6;;
220715;0300;10;;
220715;0400;6;;
220715;0500;12;;
220715;0600;11;;
220715;0700;14;;
220715;0800;11;;
220715;0900;6;;
220715;1000;6;;
220715;1100;4;;
220715;1200;5;;
220715;1300;15;;
220715;1400;7;;
220715;1500;6;;
220715;1600;8;;
220715;1700;7;;
220715;1800;5;;
220715;1900;7;;
220715;2000;6;;
220715;2100;3;;
220715;2200;3;;
220715;2300;4;;
220716;0000;5;;
220716;0100;6;;
220716;0200;6;;
220716;0300;3;;
220716;0400;2;;
220716;0500;1;;
220716;0600;2;;
220716;0700;2;;
220716;0800;5;;
220716;0900;3;;
220716;1000;3;;
220716;1100;13;;
220716;1200;11;;
220716;1300;8;;
220716;1400;8;;
220716;1500;7;;
220716;1600;9;;
220716;1700;10;;
220716;1800;9;;
220716;1900;8;;
220716;2000;5;;
220716;2100;8;;
220716;2200;5;;
220716;2300;3;;
220717;0000;5;;
220717;0100;3;;
220717;0200;7;;
220717;0300;5;;
220717;0400;13;;
220717;0500;8;;
220717;0600;3;;
220717;0700;1;;
220717;0800;2;;
220717;0900;4;;
220717;1000;1;;
220717;1100;7;;
220717;1200;18;;
220717;1300;11;;
220717;1400;15;;
220717;1500;14;;
220717;1600;26;;
220717;1700;22;;
220717;1800;31;;
220717;1900;38;;
220717;2000;27;;
220717;2100;14;;
220717;2200;21;;
220717;2300;7;;
220718;0000;32;;
220718;0100;14;;
220718;0200;8;;
220718;0300;6;;
220718;0400;5;;
220718;0500;3;;
220718;0600;1;;
220718;0700;3;;
220718;0800;9;;
220718;0900;24;;
220718;1000;11;;
220718;1100;8;;
220718;1200;8;;
220718;1300;22;;
220718;1400;27;;
220718;1500;28;;
220718;1600;25;;
220718;1700;24;;
220718;1800;25;;
220718;1900;22;;
220718;2000;16;;
220718;2100;12;;
220718;2200;13;;
220718;2300;13;;
220719;0000;7;;
220719;0100;2;;
220719;0200;1;;
220719;0300;2;;
220719;0400;1;;
220719;0500;1;;
220719;0600;1;;
220719;0700;4;;
220719;0800;14;;
220719;0900;17;;
220719;1000;30;;
220719;1100;34;;
220719;1200;25;;
220719;1300;18;;
220719;1400;17;;
220719;1500;35;;
220719;1600;37;;
220719;1700;39;;
220719;1800;38;;
220719;1900;37;;
220719;2000;34;;
220719;2100;28;;
220719;2200;23;;
220719;2300;19;;
220720;0000;12;;
220720;0100;13;;
220720;0200;8;;
220720;0300;5;;
220720;0400;10;;
220720;0500;5;;
220720;0600;6;;
220720;0700;8;;
220720;0800;10;;
220720;0900;26;;
220720;1000;31;;
220720;1100;75;;
220720;1200;51;;
220720;1300;36;;
220720;1400;41;;
220720;1500;55;;
220720;1600;72;;
220720;1700;50;;
220720;1800;42;;
220720;1900;49;;
220720;2000;57;;
220720;2100;45;;
220720;2200;41;;
220720;2300;38;;
220721;0000;31;;
220721;0100;30;;
220721;0200;23;;
220721;0300;20;;
220721;0400;19;;
220721;0500;18;;
220721;0600;15;;
220721;0700;22;;
220721;0800;15;;
220721;0900;31;;
220721;1000;29;;
220721;1100;45;;
220721;1200;16;;
220721;1300;45;;
220721;1400;65;;
220721;1500;60;;
220721;1600;61;;
220721;1700;63;;
220721;1800;56;;
220721;1900;60;;
220721;2000;56;;
220721;2100;48;;
220721;2200;54;;
220721;2300;40;;
220722;0000;38;;
220722;0100;34;;
220722;0200;33;;
220722;0300;24;;
220722;0400;19;;
220722;0500;17;;
220722;0600;13;;
220722;0700;18;;
220722;0800;21;;
220722;0900;19;;
220722;1000;28;;
220722;1100;35;;
220722;1200;36;;
220722;1300;36;;
220722;1400;44;;
220722;1500;52;;
220722;1600;63;;
220722;1700;68;;
220722;1800;67;;
220722;1900;55;;
220722;2000;52;;
220722;2100;48;;
220722;2200;49;;
220722;2300;42;;
220723;0000;40;;
220723;0100;35;;
220723;0200;23;;
220723;0300;20;;
220723;0400;26;;
220723;0500;23;;
220723;0600;24;;
220723;0700;22;;
220723;0800;28;;
220723;0900;30;;
220723;1000;30;;
220723;1100;30;;
220723;1200;26;;
220723;1300;50;;
220723;1400;49;;
220723;1500;51;;
220723;1600;54;;
220723;1700;47;;
220723;1800;40;;
220723;1900;38;;
220723;2000;51;;
220723;2100;54;;
220723;2200;56;;
220723;2300;54;;
220724;0000;50;;
220724;0100;38;;
220724;0200;36;;
220724;0300;37;;
220724;0400;32;;
220724;0500;28;;
220724;0600;33;;
220724;0700;34;;
220724;0800;35;;
220724;0900;33;;
220724;1000;39;;
220724;1100;32;;
220724;1200;47;;
220724;1300;63;;
220724;1400;60;;
220724;1500;54;;
220724;1600;45;;
220724;1700;40;;
220724;1800;40;;
220724;1900;42;;
220724;2000;41;;
220724;2100;47;;
220724;2200;30;;
220724;2300;32;;
220725;0000;33;;
220725;0100;33;;
220725;0200;33;;
220725;0300;28;;
220725;0400;31;;
220725;0500;26;;
220725;0600;30;;
220725;0700;31;;
220725;0800;29;;
220725;0900;37;;
220725;1000;42;;
220725;1100;52;;
220725;1200;46;;
220725;1300;47;;
220725;1400;62;;
220725;1500;60;;
220725;1600;54;;
220725;1700;38;;
220725;1800;28;;
220725;1900;18;;
220725;2000;14;;
220725;2100;12;;
220725;2200;16;;
220725;2300;13;;
220726;0000;18;;
220726;0100;21;;
220726;0200;29;;
220726;0300;27;;
220726;0400;31;;
220726;0500;30;;
220726;0600;23;;
220726;0700;35;;
220726;0800;37;;
220726;0900;34;;
220726;1000;37;;
220726;1100;46;;
220726;1200;28;;
220726;1300;25;;
220726;1400;35;;
220726;1500;36;;
220726;1600;31;;
220726;1700;22;;
220726;1800;11;;
220726;1900;12;;
220726;2000;10;;
220726;2100;15;;
220726;2200;20;;
220726;2300;22;;
220727;0000;14;;
220727;0100;19;;
220727;0200;14;;
220727;0300;13;;
220727;0400;11;;
220727;0500;13;;
220727;0600;10;;
220727;0700;11;;
220727;0800;21;;
220727;0900;22;;
220727;1000;26;;
220727;1100;22;;
220727;1200;27;;
220727;1300;;;
