FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220204;0700;13;;;
220204;0800;14;;;
220204;0900;12;;;
220204;1000;9;;;
220204;1100;11;;;
220204;1200;14;;;
220204;1300;13;;;
220204;1400;12;;;
220204;1500;9;;;
220204;1600;9;;;
220204;1700;8;;;
220204;1800;13;;;
220204;1900;16;;;
220204;2000;15;;;
220204;2100;15;;;
220204;2200;13;;;
220204;2300;11;;;
220205;0000;13;;;
220205;0100;13;;;
220205;0200;11;;;
220205;0300;14;;;
220205;0400;13;;;
220205;0500;16;;;
220205;0600;22;;;
220205;0700;18;;;
220205;0800;21;;;
220205;0900;18;;;
220205;1000;15;;;
220205;1100;18;;;
220205;1200;15;;;
220205;1300;12;;;
220205;1400;11;;;
220205;1500;8;;;
220205;1600;10;;;
220205;1700;10;;;
220205;1800;10;;;
220205;1900;12;;;
220205;2000;12;;;
220205;2100;13;;;
220205;2200;10;;;
220205;2300;18;;;
220206;0000;13;;;
220206;0100;19;;;
220206;0200;17;;;
220206;0300;10;;;
220206;0400;18;;;
220206;0500;21;;;
220206;0600;18;;;
220206;0700;22;;;
220206;0800;17;;;
220206;0900;13;;;
220206;1000;12;;;
220206;1100;10;;;
220206;1200;11;;;
220206;1300;12;;;
220206;1400;9;;;
220206;1500;9;;;
220206;1600;15;;;
220206;1700;13;;;
220206;1800;12;;;
220206;1900;14;;;
220206;2000;11;;;
220206;2100;11;;;
220206;2200;12;;;
220206;2300;13;;;
220207;0000;14;;;
220207;0100;13;;;
220207;0200;14;;;
220207;0300;13;;;
220207;0400;16;;;
220207;0500;12;;;
220207;0600;26;;;
220207;0700;22;;;
220207;0800;22;;;
220207;0900;19;;;
220207;1000;17;;;
220207;1100;14;;;
220207;1200;11;;;
220207;1300;15;;;
220207;1400;16;;;
220207;1500;12;;;
220207;1600;11;;;
220207;1700;12;;;
220207;1800;13;;;
220207;1900;9;;;
220207;2000;13;;;
220207;2100;11;;;
220207;2200;8;;;
220207;2300;9;;;
220208;0000;8;;;
220208;0100;9;;;
220208;0200;9;;;
220208;0300;10;;;
220208;0400;8;;;
220208;0500;26;;;
220208;0600;12;;;
220208;0700;24;;;
220208;0800;18;;;
220208;0900;19;;;
220208;1000;17;;;
220208;1100;19;;;
220208;1200;17;;;
220208;1300;14;;;
220208;1400;12;;;
220208;1500;15;;;
220208;1600;15;;;
220208;1700;16;;;
220208;1800;14;;;
220208;1900;18;;;
220208;2000;18;;;
220208;2100;19;;;
220208;2200;18;;;
220208;2300;14;;;
220209;0000;19;;;
220209;0100;14;;;
220209;0200;12;;;
220209;0300;10;;;
220209;0400;11;;;
220209;0500;14;;;
220209;0600;19;;;
220209;0700;19;;;
220209;0800;18;;;
220209;0900;18;;;
220209;1000;17;;;
220209;1100;20;;;
220209;1200;16;;;
220209;1300;14;;;
220209;1400;17;;;
220209;1500;13;;;
220209;1600;20;;;
220209;1700;19;;;
220209;1800;23;;;
220209;1900;22;;;
220209;2000;23;;;
